index,EEB.GAM.003.LIT.001.000.000
2019-01-01 21:10:00,1.9409193921089167
2019-01-01 21:20:00,1.9517677046391728
2019-01-01 21:30:00,1.9735353453618156
2019-01-01 21:40:00,1.9992928682495643
2019-01-01 21:50:00,1.93109155894262
2019-01-01 22:00:00,1.8528672162288664
2019-01-01 22:10:00,1.772809125284354
2019-01-01 22:20:00,1.6892973730692755
2019-01-01 22:30:00,1.6000038515381554
2019-01-01 22:40:00,1.5247152896990883
2019-01-01 22:50:00,1.5400048307577767
2019-01-01 23:00:00,1.5512933297589673
2019-01-01 23:10:00,1.5616265600557382
2019-01-01 23:20:00,1.5716712415218352
2019-01-01 23:30:00,1.5799645860989888
2019-01-01 23:40:00,1.5893532752990722
2019-01-01 23:50:00,1.599013504604606
2019-01-02 00:00:00,1.6050802345708264
